word,font_color,con_label,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome.started,text_2.started,Welcome.stopped,trial.started,text.started,key_resp.started,text.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,Thanks.started,text_3.started,Thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
RED,red,congruent,r,23,3,5,b,0.45646239997586235,None,5,3,23,0,39.096860599995125,,,,,39.08653949998552,40.09739119996084,40.09739119996084,40.39692939998349,40.5632520999643,b,0.45646239997586235,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,blue,incongruent,b,24,0,6,b,0.6775692999945022,None,6,0,24,2,40.57943189999787,,,,,40.563990299997386,41.56341339997016,41.56341339997016,41.88065720000304,42.24757770000724,b,0.6775692999945022,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,red,congruent,r,25,1,6,r,0.2938154999865219,None,6,1,25,0,42.26301819999935,,,,,42.2488214999903,43.24506469996413,43.24506469996413,43.54511730000377,43.54593239998212,r,0.2938154999865219,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,blue,congruent,b,26,2,6,b,0.4295612999703735,None,6,2,26,1,43.56199189997278,,,,,43.55081349995453,44.546222599979956,44.546222599979956,44.844759900006466,44.98221089999424,b,0.4295612999703735,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,red,incongruent,r,27,3,6,r,0.34720820002257824,None,6,3,27,3,44.99549709999701,,,,,44.98311719996855,45.9955956999911,45.9955956999911,46.312109099992085,46.346162499976344,r,0.34720820002257824,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,red,incongruent,r,28,0,7,b,0.27394640003331006,None,7,0,28,3,46.361773299984634,,,,,46.3472277999972,47.361314599984325,47.361314599984325,,47.643764599983115,b,0.27394640003331006,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,blue,congruent,b,29,1,7,r,0.3004828999983147,None,7,1,29,1,47.661836999992374,,,,,47.64462419995107,48.64485079998849,48.64485079998849,48.94435819995124,48.962088399974164,r,0.3004828999983147,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,blue,incongruent,b,30,2,7,r,0.3404994999873452,None,7,2,30,2,48.976909299963154,,,,,48.96698559995275,49.977293299976736,49.977293299976736,50.27780799998436,50.32788870000513,r,0.3404994999873452,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,red,congruent,r,31,3,7,b,0.5812902000034228,None,7,3,31,0,50.343473299988545,,,,,50.3289699999732,51.342601699987426,51.342601699987426,51.64468189998297,51.92754889995558,b,0.5812902000034228,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,red,incongruent,r,32,0,8,r,0.9164081999915652,None,8,0,32,3,51.94243809999898,,,,,51.93175940000219,52.925911300000735,52.925911300000735,53.242974299995694,53.84352019999642,r,0.9164081999915652,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,blue,incongruent,b,33,1,8,b,0.5383450000081211,None,8,1,33,2,53.85858489997918,,,,,53.84715899999719,54.85846279998077,54.85846279998077,55.157147599966265,55.409964699996635,b,0.5383450000081211,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,red,congruent,r,34,2,8,r,0.8381757999886759,None,8,2,34,0,55.425615299958736,,,,,55.41101569996681,56.42505540000275,56.42505540000275,56.72543049999513,57.27521249995334,r,0.8381757999886759,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,blue,congruent,b,35,3,8,r,0.23272590001579374,None,8,3,35,1,57.29028969997307,,,,,57.28121210000245,58.276497399958316,58.276497399958316,,58.52544699999271,r,0.23272590001579374,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,red,incongruent,r,36,0,9,b,0.0908159000100568,None,9,0,36,3,58.54144719999749,,,,,58.526586699998006,59.54047869995702,59.54047869995702,,59.640771300008055,b,0.0908159000100568,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,blue,congruent,b,37,1,9,r,0.288711900007911,None,9,1,37,1,59.65792510000756,,,,,59.64174589997856,60.65768919995753,60.65768919995753,60.97281629999634,60.95540819998132,r,0.288711900007911,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,red,congruent,r,38,2,9,b,0.2947823999566026,None,9,2,38,0,60.97281629999634,,,,,60.95971159997862,61.956782199966256,61.956782199966256,62.25669359997846,62.25781340000685,b,0.2947823999566026,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,blue,incongruent,b,39,3,9,b,0.3486915999674238,None,9,3,39,2,62.27321759995539,,,,,62.258774399990216,63.27263669995591,63.27263669995591,63.58735089999391,63.62228660000255,b,0.3486915999674238,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,blue,incongruent,b,40,0,10,b,0.36811380001017824,None,10,0,40,2,63.63986739999382,,,,,63.62307009997312,64.62239989999216,64.62239989999216,64.92238549998729,64.99232119997032,b,0.36811380001017824,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,red,incongruent,r,41,1,10,r,0.2306965999887325,None,10,1,41,3,65.00385129998904,,,,,64.99697149998974,66.00479039998027,66.00479039998027,,66.23996479995549,r,0.2306965999887325,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,red,congruent,r,42,2,10,r,0.40458619996206835,None,10,2,42,0,66.25368299998809,,,,,66.24543059995631,67.25466709997272,67.25466709997272,67.55489899998065,67.67111009999644,r,0.40458619996206835,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,blue,congruent,b,43,3,10,b,0.23402460000943393,None,10,3,43,1,67.68713989999378,,,,,67.67576409998583,68.67083329998422,68.67083329998422,,68.92248779995134,b,0.23402460000943393,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,red,incongruent,r,44,0,11,b,0.31717359996400774,None,11,0,44,3,68.93786449998152,,,,,68.92378640000243,69.93799429998035,69.93799429998035,70.23738049995154,70.27171020000242,b,0.31717359996400774,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,red,congruent,r,45,1,11,r,0.3239639999810606,None,11,1,45,0,70.28600779996486,,,,,70.27605559997028,71.28615729999729,71.28615729999729,71.60133189999033,71.6181360000046,r,0.3239639999810606,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,blue,incongruent,b,46,2,11,b,0.15169229998718947,None,11,2,46,2,71.63553769997088,,,,,71.61905209999532,72.61800129996845,72.61800129996845,,72.78538749995641,b,0.15169229998718947,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,blue,congruent,b,47,3,11,r,0.06577310001011938,None,11,3,47,1,72.80149339995114,,,,,72.79026109998813,73.78638139995746,73.78638139995746,,73.86855089996243,r,0.06577310001011938,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,blue,incongruent,b,48,0,12,b,0.680000199994538,None,12,0,48,2,73.88540679996368,,,,,73.8722913999809,74.8688184999628,74.8688184999628,75.18421539996052,75.55301809997763,b,0.680000199994538,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,red,incongruent,r,49,1,12,r,0.39256820001173764,None,12,1,49,3,75.56809580000117,,,,,75.55705010000383,76.55112769996049,76.55112769996049,76.85110249998979,76.95168249995913,r,0.39256820001173764,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,red,congruent,r,50,2,12,r,0.7102519000181928,None,12,2,50,0,76.96716749999905,,,,,76.9573957999819,77.95074770000065,77.95074770000065,78.25113150000107,78.66809019999346,r,0.7102519000181928,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,blue,congruent,b,51,3,12,b,0.4068280000356026,None,12,3,51,1,78.68320739996852,,,,,78.67242600000463,79.66679960000329,79.66679960000329,79.96721249999246,80.08480329997838,b,0.4068280000356026,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,red,congruent,r,52,0,13,r,0.7422974000219256,None,13,0,52,0,80.09941239998443,,,,,80.08876749995397,81.0830707999994,81.0830707999994,81.38365729997167,81.83318319998216,r,0.7422974000219256,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,red,incongruent,r,53,1,13,r,0.8757327999919653,None,13,1,53,3,81.84865399997216,,,,,81.83815339999273,82.84952289995272,82.84952289995272,83.1496310000075,83.73385359998792,r,0.8757327999919653,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,blue,congruent,b,54,2,13,b,0.4238933000015095,None,13,2,54,1,83.74808140000096,,,,,83.73474019998685,84.73027850000653,84.73027850000653,85.03257889999077,85.1666944999597,b,0.4238933000015095,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,blue,incongruent,b,55,3,13,b,0.9067461999948137,None,13,3,55,2,85.18012649996672,,,,,85.17119490000186,86.18193759996211,86.18193759996211,86.49880629999097,87.09798590000719,b,0.9067461999948137,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,blue,congruent,b,56,0,14,b,0.5617659999988973,None,14,0,56,1,87.11397889995715,,,,,87.10379889997421,88.09667579998495,88.09667579998495,88.3977378999698,88.66491529997438,b,0.5617659999988973,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,red,incongruent,r,57,1,14,r,0.4806893999921158,None,14,1,57,3,88.68155649997061,,,,,88.66594929998973,89.66366439999547,89.66366439999547,89.98096929996973,90.14738479995867,r,0.4806893999921158,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,red,congruent,r,58,2,14,r,0.5749024999677204,None,14,2,58,0,90.16218659997685,,,,,90.15224789996864,91.14700719999382,91.14700719999382,91.44746729999315,91.72945839999011,r,0.5749024999677204,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,blue,incongruent,b,59,3,14,b,0.3700953000225127,None,14,3,59,2,91.7473772999947,,,,,91.7303183999611,92.72973229998024,92.72973229998024,93.04515749996062,93.11473099997966,b,0.3700953000225127,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,red,incongruent,r,60,0,15,r,0.42195230000652373,None,15,0,60,3,93.12897709995741,,,,,93.11892969999462,94.13011249998817,94.13011249998817,94.4452992999577,94.56191659998149,r,0.42195230000652373,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,blue,congruent,b,61,1,15,b,0.4046888999873772,None,15,1,61,1,94.57885249995161,,,,,94.56326199998148,95.56214880000334,95.56214880000334,95.861803399981,95.97719089995371,b,0.4046888999873772,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,red,congruent,r,62,2,15,r,0.5354167000041343,None,15,2,62,0,95.99340939999092,,,,,95.98162259999663,96.9778374999878,96.9778374999878,97.27770909998799,97.52697099995567,r,0.5354167000041343,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,blue,incongruent,b,63,3,15,r,0.5223350000451319,None,15,3,63,2,97.5449440999655,,,,,97.52789359999588,98.52766570000676,98.52766570000676,98.82801359996665,99.06008589995326,r,0.5223350000451319,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,blue,congruent,b,64,0,16,b,0.5249793999828398,None,16,0,64,1,99.0762595999986,,,,,99.06441469996935,100.06078810000326,100.06078810000326,100.35974349995377,100.59365379996598,b,0.5249793999828398,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,red,congruent,r,65,1,16,r,0.7186513999477029,None,16,1,65,0,100.60864309995668,,,,,100.59916839998914,101.59334009996383,101.59334009996383,101.8938199999975,102.32777689996874,r,0.7186513999477029,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,red,incongruent,r,66,2,16,r,0.384375799971167,None,16,2,66,3,102.34110669995425,,,,,102.33276709995698,103.34056389995385,103.34056389995385,103.6402589000063,103.74060369998915,r,0.384375799971167,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,blue,incongruent,b,67,3,16,b,0.5539876999682747,None,16,3,67,2,103.75729649997083,,,,,103.7439426999772,104.75678409996908,104.75678409996908,105.05610980000347,105.32435449998593,b,0.5539876999682747,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,blue,congruent,b,68,0,17,b,0.518718900042586,None,17,0,68,1,105.34324560000096,,,,,105.3303176999907,106.3409251999692,106.3409251999692,106.65622529998654,106.87308559997473,b,0.518718900042586,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,red,incongruent,r,69,1,17,b,0.682720800046809,None,17,1,69,3,106.88947619998362,,,,,106.87375119997887,107.8729601999512,107.8729601999512,108.17235069995513,108.55701140000019,b,0.682720800046809,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,red,congruent,r,70,2,17,r,0.38407730002654716,None,17,2,70,0,108.57294379995437,,,,,108.56246939999983,109.57307509996463,109.57307509996463,109.89087119995384,109.95857829996385,r,0.38407730002654716,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,blue,incongruent,b,71,3,17,b,0.8277208000072278,None,17,3,71,2,109.97214899997925,,,,,109.95928640000056,110.97339629998896,110.97339629998896,111.27267729997402,111.80687569995644,b,0.8277208000072278,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,blue,congruent,b,72,0,18,b,0.6167639000341296,None,18,0,72,1,111.82129249995342,,,,,111.81169309996767,112.8060884999577,112.8060884999577,113.10575439996319,113.42340339999646,b,0.6167639000341296,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,blue,incongruent,b,73,1,18,b,0.5191150000318885,None,18,1,73,2,113.43850549997296,,,,,113.42767869995441,114.42055199999595,114.42055199999595,114.72045979998074,114.95594419998815,b,0.5191150000318885,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,red,incongruent,r,74,2,18,r,0.4772396000334993,None,18,2,74,3,114.97084069997072,,,,,114.9611762999557,115.9534827999887,115.9534827999887,116.25435629999265,116.43798409996089,r,0.4772396000334993,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,red,congruent,r,75,3,18,r,0.4709983999491669,None,18,3,75,0,116.45342159998836,,,,,116.44182399997953,117.43737209995743,117.43737209995743,117.73759629996493,117.92134889995214,r,0.4709983999491669,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
BLUE,red,incongruent,r,76,0,19,b,0.2725880999932997,None,19,0,76,3,117.93638709996594,,,,,117.92565689998446,118.92057610000484,118.92057610000484,119.22055129997898,119.20379100000719,b,0.2725880999932997,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
RED,blue,incongruent,b,77,1,19,r,0.44248759996844456,None,19,1,77,2,119.22055129997898,,,,,119.20849859999726,120.20352579996688,120.20352579996688,120.50249809998786,120.65407709998544,r,0.44248759996844456,None,,,,1,001,2025-08-24_12h19.11.226,Stroop Task,,2025.1.1,60.2470248455618,2025-08-24 12h19.21.483647 +0530,
